If you enjoyed,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Mobile Time,Accenture and Adboe team on customer enegagement,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Digital Leadership Is Not an Optional Part of Being a CEO
Up your DevOps chops with this online Kubernetes class,Google's fair use victory is good for open source,Bring Linux apps to the Mac Desktop with Docker,Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration
PICNIC,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Savage Love Letter of the Day: Get Out There and Fight,Write Like You Talk,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos
O dia em que tive mais medo de estar errada.,"In war for talent, 'brogrammers' will be losers",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,#Sentaquelávemtextão,A minha viagem à Maternidade #tetodomundo,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
Cinco competências essenciais ao IT Leaders - CIO,Managing Machines at Spotify,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",The future of the shopping mall,Nubank e Goldman fecham parceria de R$ 200 milhões,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com"
Hype Driven Development,"As Artificial Intelligence Evolves, So Does Its Criminal Potential",Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,How to build cross-platform mobile apps using nothing more than a JSON markup,O futuro das interfaces: Chatbots - Tableless,Building immutable entities into Google Cloud Datastore
What Apple's differential privacy means for your data and the future of machine learning,"National Coming Out Day - Wikipedia, the free encyclopedia",Program your way to your next grocery delivery,Comprar roupas está ficando fora de moda no Reino Unido,Apple gives devs the chance to harness power of neural networks,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog"
9 Non-Threatening Leadership Strategies for Women,Analyst: Google's cloud business could cause the stock to soar to over $900,Google employees are adding 'Lady' to their job titles to fight sexism,"An independent organization just ranked Google as the best cloud, beating Amazon",A minha viagem à Maternidade #tetodomundo,8 things to expect from Google's biggest event of the year
AI Revolution 101 - AI Revolution,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's Open Source Love Affair Reaches New Heights,The emerging Darwinian approach to analytics and augmented intelligence,Physicists have discovered what makes neural networks so extraordinarily powerful,Generative Models
Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Two Different Sales Motions . . . .,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,Indian outsourcing specialists must reboot their strategies,GE Digital snags ServiceMax for $915 million
Perfect Menu for Mobile Apps - UX Planet,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Writing good code: how to reduce the cognitive load of your code,"Agility in the Cloud: Which ""As a Service"" Works for You?",LukeW | Obvious Always Wins,Today in Apple history: Steve Jobs passes away | Cult of Mac
"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Google Calendar for Android can now find meeting times that work for everyone,The AI business landscape,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Apple acquires Turi, a machine learning company"
"Revista MundoLogística - Sistema desenvolvido por estudante do CTC/PUC-RIO gera economia de US$ 10 milhões, no transporte marítimo",Programação Reativa Funcional com RxJava,Python - It's metaclasses all the way down,Optimize Arduino Memory Usage,Conselho da SABMiller aceita proposta de compra da AB InBev,Aussie Uses Arduino Chips To Roboticize a Ford Focus
IAM best practice guides available now,"Every shot Kobe Bryant ever took. All 30,699 of them",Spotify's Event Delivery - The Road to the Cloud (Part III),Cognitive Services-Intelligence Applications | Microsoft Azure,CoreOS's rkt Container Engine Hits 1.0,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine
TI Bimodal? Receita para o desastre...,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",The future of the shopping mall,Gartner Hype Cycle for Digital Marketing and Advertising,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,3 Pillars of the Most Successful Tech Products
Introducing Ask a Female Engineer,The Genderbread Person v3 | It's Pronounced Metrosexual,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Simples assim,Savage Love Letter of the Day: Get Out There and Fight,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Olli: Artificial Intelligence for the real world of connected commuting,Advanced Android Espresso,Debugging WordPress: 11 Powerful Tips and Techniques,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery"
"Google Duo, aplicativo de chamadas em vídeo | Google Discovery","Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Google Now on Tap estreia no Brasil | Google Discovery,New ways to keep data flowing between your apps and ours,Google moves to replace Flash with HTML5,"Google just open sourced something called 'Parsey McParseface,' and it could change AI forever"
Webinar Salesforce - Best Practices for Advanced Lightning Apps,This is the scientific reason we're addicted to our phones,Adobe CQ/Adobe AEM,Adobe quer potencializar área de marketing digital - Meio & Mensagem,Assessing Salesforce's platform and ecosystem | ZDNet,How bot-to-bot could soon replace APIs
Serverless real-time architecture on AWS: there is a way !,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,Serverless Architectures,No-Cost RHEL Developer Subscription now available,Taking Microservices Home - NGINX
Cientistas trabalham em técnica que permite imprimir alimentos,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Empresas intensificam operações de barter diante da dificuldade de crédito,Buscas on-line por carros têm expansão de 43% no 1º trimestre,How to Create an Exponential Mindset
[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,Sony Smart Tennis Sensor for Tennis Rackets,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",Presenting to the Boss(es) | Pluralsight,[Videos] This fake TED Talk about nothing might be the best you've ever seen,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera
Creating value in auto finance with vLendRight | Kevin Moseri,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,Honda: mulheres já respondem por 50% das vendas via consórcio,"Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre",Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada
"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk,Banking Needs a Customer Experience Wake-Up Call,"No, Apple isn't the next BlackBerry - it's the next Microsoft",XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Unilever Buys Dollar Shave Club for $1 Billion
Chip Pro sequel to crowdsourced $9 computer sets its sights on gadget makers,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",johnpapa/angular-styleguide,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,The internet of stings,Aussie Uses Arduino Chips To Roboticize a Ford Focus
A publicidade sem ROI acaba de morrer: adapte-se ou junte-se a ela - Meio & Mensagem,PICNIC,Large CPGs are under attack by startups... and consumers are winning,Google lança novos recursos para o Analytics,Que novas oportunidades poderemos criar com Blockchain? - CIO,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?
Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Why Is Learning Drupal Hard?,Workplace diversity in Brazil: there's still a long way to go,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Anti-If: The missing patterns,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mobify report reveals impact of mobile website speed,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
Today in Apple history: iBook ushers in a Wi-Fi revolution,Joel on Software,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
Designer Creates 13 Perfect Circles to Draw Almost Any Animal,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!,A identidade visual de Budapeste para as Olimpíadas de 2024,What exactly is a design culture? ,"E quando o cliente diz ""Não gostei""?"
"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Portal Abrasce - Conhecendo o frequentador de shopping center,As compras e os hábitos dos brasileiros no shopping | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Black Friday salva o ano do e-commerce
"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",The Genderbread Person v3 | It's Pronounced Metrosexual,"National Coming Out Day - Wikipedia, the free encyclopedia",Netflix emociona com vídeo destacando personagens LGBT
Como a Netshoes se preparou para a Black Friday deste ano,"Fundador da Netshoes fala ao E-Commerce Brasil sobre inovação, gestão de pessoas e futuro",Java 8 Best Practices Cheat Sheet,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,TI Bimodal? Receita para o desastre...,Portal Mercado & Consumo
5 Skills You Need to Become a Machine Learning Engineer | Udacity,The emerging Darwinian approach to analytics and augmented intelligence,Generative Models,Exclusive: Why Microsoft is betting its future on AI,Scala is the new golden child,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur
Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,My Approach to Mobile Accessibility Testing - Ministry of Testing,Top 5 Android Testing Frameworks with Examples,The Rise And Growth of Ethereum Gets Mainstream Coverage,Resenha - A Chegada,5 Asian Trends for 2017
Road to Polymer 2.0,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,The Progress of Web Apps - On the Edge,Aplicação de visão computacional com OpenCV,React Native v0.32.0-rc.0 released,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card"
"Microservices Reference Architecture, Part 4 -12‑Factor App",The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Spring Boot 1.4 released,Taking Microservices Home - NGINX
Google Expands Android Pay APIs,Can Artificial Intelligence Enhance The Mass Customization In The Fashion Sector ?,Automate deployments and traffic splitting with the App Engine Admin API,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'","Blockchain open sources Thunder network, paving the way for instant bitcoin transactions","contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object"
Meio&Mensagem,How to get the most from your agency relationships in 2017,"Zendesk's ""Automatic Answers"" taps machine learning, AI to generate bot-style email responses",Can Accenture Take Over Advertising?,Adobe quer potencializar área de marketing digital - Meio & Mensagem,The need to lead in data and analytics
"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Migrating to the New Java 8 Date Time API | Baeldung,Learn Microservices in Java - DZone - Refcardz,Practical VPC Design - AWS Startup Collection,Reactive log stream processing with RxJava - Part I,Building Spring Cloud Microservices That Strangle Legacy Systems
Migrating from Parse to Bluemix,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,"contentId
8416004328454490172    Real World Swift Performance
8416004328454490172    Real World Swift Performance
Name: title, dtype: object",Swift Top 10 Articles For The Past Year (v.2017),Descubra os 10 apps mais importantes para o brasileiro,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog"
Artificial Intelligence Can Now Design Realistic Video and Game Imagery,8 things to expect from Google's biggest event of the year,These gloves can convert sign language into spoken English,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,DeepMind moves to TensorFlow,Google's official Project Wing logo revealed
How to build cross-platform mobile apps using nothing more than a JSON markup,Communication patterns in a Microservice world,Hype Driven Development,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Arquitetura de Microserviços habilitando APIs - Sensedia,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery
The Best Linux Distros of 2016,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery","Open Source Won. So, Now What?","Google Cloud Platform adds two new regions, 10 more to come",Chrome OS now has Material Design for the desktop,Introducing Goals in Google Calendar on Android and iPhone
Kickstarter 3D printer will print circuit boards as part of your designs,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,6 New Tech Gadgets That Will Simplify Your Life in 2017,3M e o perfil intraempreendedor | Endeavor Brasil,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi
Docker e .Net,Introduction to release engineering,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Our password hashing has no clothes,Machine Intelligence - Research at Google,Bayer anuncia compra da Monsanto por US$ 66 bilhões
How Apple Keyboards Lost a Logo and Windows PCs Gained One,What to Expect at WWDC 2016,Ordering coffee in Italy: the 10 commandments,Joel on Software,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
Top 10 GCP sessions from Google I/O 2016,"Cloud Shell now GA, and still free",Dries Buytaert,Google Cloud Datastore gets faster cross-platform API,"Thunder, a Drupal distribution for publishers",How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic
Spotify's Event Delivery - The Road to the Cloud (Part III),Ray Kurzweil Predicts Three Technologies Will Define Our Future,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera","DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Facebook sends a loud message about Messenger bots, but will we hear it?"
Code reuse in microservices architecture - with Spring Boot,Spring Boot 1.4 released,Introduction to Spring REST Docs | Baeldung,Taking Microservices Home - NGINX,How Kotlin became our primary language for Android - UPTech Team,Bridging the Communication Gap Between Developers and Architects - DaedTech
Lean IT is all about people - o Lean na TI é focado em pessoas,Investimentos em coaching e mentoring aumentam nas empresas,Qual é o valor da área de T&D na sua empresa?,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,How to augment your career with leadership coaching,Como resolver conflitos no ambiente corporativo us
Segment helps businesses integrate third-party sources into their data pipelines,Evernote anuncia integração com Google Drive | Google Discovery,Lady Gaga's startup Backplane burns out and sells assets,Top 5 GCP NEXT breakout sessions on YouTube (so far),We spent a week making Trello boards load extremely fast. Here's how we did it.,Skill swarms - a new way to share expertise and work smarter together - Skillhive
How Do Top Android Developers QA Test Their Apps?,Kubernetes 1.3 on tap for Google Container Engine,Visa inaugura Co-Creation Center em São Paulo,The Joel Test: 12 Steps to Better Code,AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),Practical VPC Design - AWS Startup Collection
The Continuous Delivery Maturity Model,How Etsy Does Continuous Integration for Mobile Apps,"DevOps security requires new mindset and tools for visibility, automation",DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,"Docker - Build, Ship, and Run Any App, Anywhere"
Google HR chief Laszlo Bock leaving to launch startup,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm,"Entrevista com Alejandro Formanchuk: ""Funcionário não é público interno - é ator extremo"" - Blog do Love Mondays"
"Open Source Won. So, Now What?","Waterwheel, the Drupal SDK Ecosystem",Dries Buytaert,"Thunder, a Drupal distribution for publishers","Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",A simple approach to PCI DSS compliance for Google Cloud Platform
"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",Infrequently Noted,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",Chrome extension brings Medium's best feature to the whole Web,The 100 (TV Series 2014- ),Orphan Black (TV Series 2013- )
The Competitive Landscape for Machine Intelligence,Exclusive: Why Microsoft is betting its future on AI,The Competitive Landscape for Machine Intelligence,The emerging Darwinian approach to analytics and augmented intelligence,Generative Models,Google's Cloud Machine Learning service is now in public beta
Hintjens.com,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,Elastic Stack 5.0.0 Released,The new 64-bit Orange Pi is a quad-core computer for $20,"New functional programming language can generate C, Python code for apps",Chrome OS now has Material Design for the desktop
"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise","Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways","A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL",Taking Microservices Home - NGINX,"Globo.com Uses NGINX for Streaming Media to 500,000+ Viewers",How Kotlin became our primary language for Android - UPTech Team
Google's Hangouts still has a future: as an enterprise communication app,"Building Chatbots with Node.js - Online Training - July 13 & 14, 2016","Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,Touch (TV Series 2012-2013),From fine wine to lotteries: Blockchain tech takes off - BBC News
UX - Como identificar o comportamento do usuário? - Tableless,Why Is Learning Drupal Hard?,Um programador automatizou seu trabalho e passou 6 anos sem fazer nada | Tecnoblog,Scanning hyperspace: how to tune machine learning models,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery
How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Dries Buytaert,"Thunder, a Drupal distribution for publishers",Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,"Waterwheel, the Drupal SDK Ecosystem",Dries Distributions remain a growing opportunity for Drupal - Buytaert
Nashorn: JavaScript made great in Java 8,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",Google Cloud and Autodesk enable 10x improvement in media rendering efficiency,From fine wine to lotteries: Blockchain tech takes off - BBC News,Shutter Island (2010),Prototypal Object-Oriented Programming using JavaScript
How Netflix does A/B Testing - uxdesign.cc - User Experience Design,Machine Learning Is No Longer Just for Experts,Services | RaRe Technologies,TPOT: A Python tool for automating data science,Google's Cloud Machine Learning service is now in public beta,Algorithms and architecture for job recommendations
University of Washington partners with Disney to develop cheap touch-sensitive paper - GeekWire,Google believes its superior AI will be the key to its future,Exclusive: Why Microsoft is betting its future on AI,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,The emerging Darwinian approach to analytics and augmented intelligence,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard"
Android Mobile Vision restores operation and adds Text API | Android Developers Blog,StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",Announcing updates to Google's Internet of Things platform: Android Things and Weave,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%)
Using DiffUtil in Android RecyclerView,Testes unitários vs aceitação - Android Dev BR,"ConstraintLayout, Inside and Out: Part 1",Optimizing the Performance of Vector Drawables - upday devs,Listas com RecyclerView - Android Dev BR,Firebase Test Lab for Android
[Webinar] PMI | Project Management Institute,[Tools] XMind Plus - Last Chance for students' 1$ gift,[Framework] Lean IT Governance,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,Onde a tecnologia e o cuidado se encontram? - Saúde Business
Woolworths,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,Don't Waste Your Time on Networking Events,NOW NEW NEXT: How growth champions create new value,In the Long Run,WeChat's world
Google Now Posting Full OTA Images For Nexus Devices Alongside Factory Images,Senado lança enquete para saber se você é contra ou a favor a franquia de dados para internet fixa,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,University of Washington partners with Disney to develop cheap touch-sensitive paper - GeekWire,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos
In defense of the Uber-ization of everything,The Real Product Market Fit,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Digital Leadership Is Not an Optional Part of Being a CEO,Why Uber Is Killing the Bank (And What That Means for Everything Else),The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle
Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),Achievement Unlocked : AWS Certified Solutions Architect Professional,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%)
A new Facebook chatbot could help you find your next job - Digiday,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Apache Spark 2.0 Preview: Machine Learning Model Persistence,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Building immutable entities into Google Cloud Datastore,Are Chatbots Really The Future Of Web Design?
Microsoft and HackerRank bring executable code snippets to Bing's search results pages,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",8 things to expect from Google's biggest event of the year,From fine wine to lotteries: Blockchain tech takes off - BBC News,Twitter adds a button to help you train its algorithm
What Business Leaders Should Know About Swift,Soylent's new drink will replace your breakfast and morning coffee,"ConstraintLayout, Inside and Out: Part 1",Using DiffUtil in Android RecyclerView,Programação Reativa Funcional com RxJava,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery"
The Definitive Guide to Database Version Control,What's the Version of my Deployed Application? - DZone DevOps,"Webinário gratuito ""Como analisar um AWR Report""",Google segue Microsoft e lança ferramenta analítica grátis,NoSQL Performance Benchmarks,Learning How to Learn: The Most Important Developer Skill - Free Code Camp
[Security] How to Set Expiration Dates for Shared Google Drive Files,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,[Tools] Universities should ban PowerPoint - It makes students stupid and professors boring,[Article] 23 fascinating diagrams reveal how to negotiate with people around the world,Woolworths,WeChat's world
10 Modern Software Over-Engineering Mistakes,"What do you mean by ""Event-Driven""?","Microservices Reference Architecture, Part 4 -12‑Factor App","Stream processing, Event sourcing, Reactive, CEP... and making sense of it all",The Broken Window Theory,Trends in Version Control Land: Innersourcing
6 reasons why I like KeystoneML,Probabilistic Programming,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Machine Learning Is No Longer Just for Experts,Services | RaRe Technologies,Google's Cloud Machine Learning service is now in public beta
Bancos brasileiros fecham 200 agências em 2015 - Home - iG,An MIT Algorithm Predicts the Future by Watching TV,What Pinterest learned in two years working on its search engine,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,To Use Physical Or To Use Virtual: That is the container deployment question,To bot or not to bot
Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Lista tem 15 dicas para Google Docs; teste,Startups apostam em aplicativos que conectam fretes e caminhoneiros,"Ultrapar, por meio da Ipiranga, assina compra da Ale por R$ 2,17 bilhões",Where accountability really matters,O uso da vírgula e seus pré-requisitos - Português
Apple is working on an AI system that wipes the floor with Google and everyone else,Ordering coffee in Italy: the 10 commandments,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog"
Leveling Up Your JavaScript -,Java Collections Cheat Sheet,The five phases of migrating to Google Cloud Platform,Prototypal Object-Oriented Programming using JavaScript,CSS Containment in Chrome 52 | Web Updates - Google Developers,A Baseline for Hybrid Mobile Developers
Negociação deve garantir ocupação de shoppings até 2017 | EXAME.com,Portal Abrasce - Conhecendo o frequentador de shopping center,TI Bimodal? Receita para o desastre...,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
Making open source data more available,The AI business landscape,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",TechCrunch launches a personalized news recommendations bot on Facebook Messenger,The barbell effect of machine learning.
Today in Apple history: Steve Jobs passes away | Cult of Mac,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Perfect Menu for Mobile Apps - UX Planet,"Agility in the Cloud: Which ""As a Service"" Works for You?",Writing good code: how to reduce the cognitive load of your code,Readable Content Guides
"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine","Why Performance Matters, Part 2: Perception Management - Smashing Magazine","Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine",Falling for Web Components,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mercado de Cosméticos no Brasil - Setor que não conhece crise!
"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/","PSA: iOS 9.3.5 fixes serious security exploit that exposed contacts, texts, calls, &amp; emails",Scrum Community - Scrum Alliance,Saying �� to Allo and Duo: new apps for smart messaging and video calling,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,Brazilian Government and Ericsson to innovate together for Internet of Things
'We've realized a ten-year strategy goal in one year',Automation and anxiety,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,How enterprise architects can help ensure success with digital transformations,Machine Learning Is Redefining The Enterprise In 2016,NTT to buy Dell's services division for $3.05 billion
"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",The Progress of Web Apps - On the Edge,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,Características de Arquiteturas Evolutivas,Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U
"Handling context in ""outside-in""",3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi
